"","State","asian_prop","black_prop","hispanic_prop","white_prop","ppbill","pcttip","flair","intro","selling","repeat.","customer_name","smile","thanks","Extraverted_enthusiastic","Critical_quarrelsome","Dependable_selfdisciplined","Anxious_easily_upset","Reserved_quiet","Sympathetic_warm","Disorganized_careless","Conventional_uncreative","birth_yr","sex","race"
"856","canada",5,3,3,89,30,17,"Never","Sometimes","Often","Sometimes","Sometimes","Always","Sometimes","5","4","6","2","5","5","2","5",1980,"Male","White"
"858","oh",3,5,2,90,10,15,"Never","Always","Always","Always","Never","Always","Often","6","2","7","2","3","4","1","2",1980,"Female","White"
"860","az",5,10,15,70,15,18,"Sometimes","Often","Sometimes","Always","Often","Often","Never","7","6","7","7","2","6","3","1",1978,"Male","White"
"862","ny",2,2,5,91,30,15,"Never","Never","Sometimes","Sometimes","Never","Often","Never","1","1","6","3","7","7","3","2",1983,"Female","Black"
"863","canada",15,5,0,80,15,10,"Never","Always","Always","Often","Never","Sometimes","Often","7","1","7","1","1","7","1","1",1983,"Female","White"
"864","oh",5,20,15,60,15,15,"Always","Always","Always","Always","Sometimes","Often","Sometimes","5","1","7","1","5","7","4","2",1973,"Female","White"
"865","canada",2,5,10,83,30,15,"Sometimes","Often","Often","Often","Often","Often","Often","7","2","7","2","4","6","2","5",1988,"Female","White"
"867","mi",0,35,2,73,11,12,"Never","Always","Often","Often","Never","Often","Never","6","3","5","3","2","6","2","1",1987,"Male","White"
"868","canada",2,5,2,90,25,12,"Never","Often","Sometimes","Always","Often","Often","Always","6","2","7","3","5","6","4","5",1982,"Male","White"
"869","dc",5,30,20,45,60,12,"Never","Never","Often","Sometimes","Never","Often","Never","7","2","7","2","1","7","2","3",1984,"Female","White"
"871","va",15,8,1,50,10,2,"Sometimes","Often","Often","Always","Sometimes","Sometimes","Sometimes","6","2","6","3","4","5","5","2",1983,"Female","White"
"872","mn",5,10,5,80,11.75,18,"Never","Often","Often","Sometimes","Sometimes","Sometimes","Never","5","3","6","2","4","4","3","2",1979,"Male","White"
"874","tn",2,6,2,90,35,20,"Always","Always","Always","Always","Sometimes","Often","Always","7","1","7","1","1","7","1","7",1972,"Male","White"
"875","md",10,9,1,80,15,18,"Sometimes","Often","Sometimes","Sometimes","Never","Often","Always","5","5","7","5","6","6","6","2",1990,"Female","White"
"877","ca",20,20,20,40,10,0,"Sometimes","Always","Always","Always","Sometimes","Always","Sometimes","3","3","5","6","6","3","3","2",1970,"Male","White"
